,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,LTM
"Чистая рентаб, %",МОЭСК,,,,,,,,,,,0.17,0.139,0.13699999999999998,0.151,0.063,0.095,0.067,0.02,0.040999999999999995,0.05,0.028999999999999998,0.057,0.075
"Доходность FCF, %",МОЭСК,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.155,-0.055999999999999994,-0.065,-0.016,0.084,0.004,0.142,0.187,0.267
"ROE, %",МОЭСК,,,,,,,,,,,0.179,0.147,0.122,0.115,0.051,0.08199999999999999,0.054000000000000006,0.018000000000000002,0.038,0.047,0.027000000000000003,0.055999999999999994,0.073
"ROA, %",МОЭСК,,,,,,,,,,,,,,,0.026000000000000002,0.038,0.027999999999999997,0.009000000000000001,0.019,0.023,0.013000000000000001,0.027000000000000003,0.037000000000000005
P/E,МОЭСК,,,,,,,,,,,4.22,4.32,4.29,3.48,7.54,2.92,4.67,14.2,4.88,7.16,14.3,5.77,3.35
P/S,МОЭСК,,,,,,,,,,,0.71,0.6,0.59,0.52,0.48,0.28,0.31,0.29,0.2,0.36,0.41,0.33,0.25
P/BV,МОЭСК,,,,,,,,,,,0.75,0.63,0.52,0.4,0.39,0.24,0.26,0.26,0.19,0.34,0.39,0.34,0.25
EV/EBITDA,МОЭСК,,,,,,,,,,,3.23,2.99,2.93,2.78,3.71,2.47,3.36,3.72,2.97,3.75,4.51,3.36,2.51
Долг/EBITDA,МОЭСК,,,,,,,,,,,1.08,1.12,1.24,1.25,1.97,1.65,2.2,2.46,2.16,2.29,2.5,1.86,1.44
"Персонал, чел",МОЭСК,,,,,,,,,,,15552.0,15232.0,15215.0,,,15058.0,14823.0,14547.0,14550.0,14377.0,14234.0,,
"Производительность труда, млн руб/чел/год",МОЭСК,,,,,,,,,,,7.18,8.49,8.24,,,8.79,9.47,10.3,11.0,11.2,11.5,,
"Расходы/чел/год, тыс.р",МОЭСК,,,,,,,,,,,0.0,0.0,0.0,,,1188.0,1249.0,1296.0,1311.0,1446.0,1527.0,,
"R&D/CAPEX, %",МОЭСК,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Цена/мощность, руб/кВт",МОЭСК,,,,,,,,,,,,,,,,1478.0,1672.0,1667.0,1484.0,1880.0,1888.0,1659.0,
"CAPEX/Выручка, %",МОЭСК,,,,,,,,,,,0.0,0.0,0.0,0.4,0.32,0.22,0.22,0.18,0.16,0.17,0.18,0.18,0.2
Дата отчета,МТС,,,,,,,,,,,,,,08.07.2018,30.06.2018,30.06.2018,30.06.2018,30.06.2018,19.03.2019,12.03.2020,04.03.2021,03.03.2022,16.11.2022
Валюта отчета,МТС,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Акт. абоненты, млн чел",МТС,,,,,,,,,,,,,,,104.0,107.0,109.9,106.5,105.3,79.1,78.5,80.4,
"ARPU, $/чел",МТС,,,,,,,,,,,,,,,326.0,338.0,342.0,343.0,346.0,355.0,375.0,,
"Выручка, млрд руб",МТС,,,,,,,,,,,,,,398.4,410.8,431.2,435.7,442.9,451.5,476.1,494.9,534.4,541.1
"Операционная прибыль, млрд руб",МТС,,,,,,,,,,,,,,,,,,96.1,116.2,114.2,112.9,118.3,107.5
"EBITDA, млрд руб",МТС,,,,,,,,,,,,,,175.0,179.1,175.5,169.3,179.8,220.9,210.3,215.2,229.4,224.3
"Чистая прибыль, млрд руб",МТС,,,,,,,,,,,,,,79.8,51.3,49.5,48.5,56.0,65.9,54.2,61.4,63.5,40.8
"Чистая прибыль н/с, млрд руб",МТС,,,,,,,,,,,,,,,,,,,6.8,,,,
"Операционный денежный поток, млрд руб",МТС,,,,,,,,,,,,,,,,,,144.6,154.4,106.7,155.5,142.8,180.5
"CAPEX, млрд руб",МТС,,,,,,,,,,,,,,,91.9,96.1,83.6,76.4,86.5,91.5,96.9,111.0,98.6
"FCF, млрд руб",МТС,,,,,,,,,,,,,,,57.1,51.0,47.0,71.5,54.8,55.4,62.1,53.9,69.0
"Див.выплата, млрд руб",МТС,,,,,,,,,29.6,39.4,30.7,30.0,30.4,41.0,51.2,52.0,32.2,67.5,45.1,85.0,70.8,88.6,67.6
"Дивиденд, руб/акцию",МТС,,,,,,,,,14.8,20.2,15.4,14.5,14.7,19.8,24.8,25.2,15.6,33.8,22.58,42.5,35.44,44.4,33.85
"Див доход, ао, %",МТС,,,,,,,,,0.133,0.091,0.059000000000000004,0.079,0.06,0.06,0.147,0.12,0.06,0.122,0.095,0.133,0.107,0.149,0.15
"Дивиденды/прибыль, %",МТС,,,,,,,,,,,,,,0.51,1.0,1.05,0.66,1.21,0.68,1.57,1.15,1.4,1.66
"Опер. расходы, млрд руб",МТС,,,,,,,,,,,,,,,,,,,,,196.6,210.4,236.3
"Себестоимость, млрд руб",МТС,,,,,,,,,,,,,,106.4,114.7,163.3,175.7,169.4,176.3,178.9,185.4,205.8,198.6
"Расх на персонал, млрд руб",МТС,,,,,,,,,,,,,,,,,,,,50.5,48.9,54.3,
"Процентные расходы, млрд руб",МТС,,,,,,,,,,,,,,,,25.0,26.8,23.4,37.1,46.2,41.8,40.6,
"Активы, млрд руб",МТС,,,,,,,,,,,,,,,,653.4,544.5,551.1,916.0,823.9,919.0,1016.0,1057.0
"Чистые активы, млрд руб",МТС,,,,,,,,,,,,,,151.9,165.9,168.4,139.2,120.1,65.3,33.1,28.7,9.77,-20.6
"Долг, млрд руб",МТС,,,,,,,,,,,,,,,,348.0,279.3,292.8,368.7,343.3,429.5,462.1,515.8
"Наличность, млрд руб",МТС,,,,,,,,,,,,,,30.6,61.4,33.5,18.5,30.6,136.0,63.1,111.9,72.6,101.0
"Чистый долг, млрд руб",МТС,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-30.6,-61.4,314.5,260.9,262.2,232.8,280.2,317.6,389.5,414.8
"Цена акции ао, руб",МТС,,,,,,,,,111.7,221.0,259.9,183.2,246.0,328.3,169.1,210.0,259.0,276.0,238.0,320.0,330.0,298.3,226.4
"Число акций ао, млн",МТС,,,,,,,,,2066.0,2066.0,2066.0,2066.0,2066.0,2066.0,2066.0,2066.0,2066.0,1998.0,1998.0,1998.0,1998.0,1998.0,1998.0
"Free Float, %",МТС,,,,,,,,,,,,,,,,,0.48,0.47600000000000003,0.45799999999999996,0.444,0.43200000000000005,,
"Капитализация, млрд руб",МТС,,,,,,,,,230.7,456.6,537.0,378.5,508.3,678.4,349.3,433.9,535.2,551.6,475.6,639.4,659.4,596.0,452.4
"EV, млрд руб",МТС,,,,,,,,,230.7,456.6,537.0,378.5,508.3,647.8,287.9,748.5,796.1,813.8,708.4,919.6,977.0,985.5,867.2
"Баланс стоимость, млрд руб",МТС,,,,,,,,,0.0,0.0,0.0,0.0,0.0,151.9,165.9,59.3,30.4,6.45,-69.8,-85.3,-99.4,-133.2,-179.5
"EPS, руб",МТС,,,,,,,,,0.0,0.0,0.0,0.0,0.0,38.6,24.8,24.0,23.5,28.0,33.0,27.1,30.7,31.8,20.4
"FCF/акцию, руб",МТС,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,27.7,24.7,22.7,35.8,27.4,27.7,31.1,27.0,34.5
"BV/акцию, руб",МТС,,,,,,,,,0.0,0.0,0.0,0.0,0.0,73.5,80.3,28.7,14.7,3.23,-34.9,-42.7,-49.7,-66.6,-89.8
"Рентаб EBITDA, %",МТС,,,,,,,,,,,,,,0.439,0.436,0.40700000000000003,0.389,0.406,0.489,0.442,0.435,0.429,0.414
"Чистая рентаб, %",МТС,,,,,,,,,,,,,,0.2,0.125,0.115,0.111,0.126,0.146,0.114,0.124,0.11900000000000001,0.075
"Доходность FCF, %",МТС,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.16399999999999998,0.11699999999999999,0.08800000000000001,0.13,0.115,0.087,0.094,0.09,0.153
"ROE, %",МТС,,,,,,,,,,,,,,0.525,0.309,0.294,0.348,0.466,1.01,1.639,2.1390000000000002,6.499,-1.984
"ROA, %",МТС,,,,,,,,,,,,,,,,0.076,0.08900000000000001,0.102,0.07200000000000001,0.066,0.067,0.062,0.039
P/E,МТС,,,,,,,,,,,,,,8.5,6.81,8.77,11.0,9.85,7.22,11.8,10.7,9.39,11.1
P/S,МТС,,,,,,,,,,,,,,1.7,0.85,1.01,1.23,1.25,1.05,1.34,1.33,1.12,0.84
P/BV,МТС,,,,,,,,,,,,,,4.47,2.11,7.32,17.6,85.5,-6.81,-7.49,-6.63,-4.48,-2.52
EV/EBITDA,МТС,,,,,,,,,,,,,,3.7,1.61,4.26,4.7,4.53,3.21,4.37,4.54,4.3,3.87
Долг/EBITDA,МТС,,,,,,,,,,,,,,-0.17,-0.34,1.79,1.54,1.46,1.05,1.33,1.48,1.7,1.85
"Персонал, чел",МТС,,,,,,,,,,,,,,,,,69322.0,65003.0,65102.0,62500.0,60594.0,,
"Производительность труда, млн руб/чел/год",МТС,,,,,,,,,,,,,,,,,6.29,6.81,6.93,7.62,8.17,,
"Расходы/чел/год, тыс.р",МТС,,,,,,,,,,,,,,,,,0.0,0.0,0.0,807.2,806.4,,
"R&D/CAPEX, %",МТС,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",МТС,,,,,,,,,,,,,,0.0,0.22,0.22,0.19,0.17,0.19,0.19,0.2,0.21,0.18
Дата отчета,НКНХ,,,,,,,,,,,,,,08.07.2018,08.07.2018,30.06.2018,30.06.2018,30.06.2018,27.03.2019,27.03.2020,29.03.2021,,
Валюта отчета,НКНХ,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,
"Выручка, млрд руб",НКНХ,,,,,,,,,,,,,,126.0,137.0,155.8,158.8,167.6,193.9,179.0,154.0,,
"EBITDA, млрд руб",НКНХ,,,,,,,,,,,,,,13.2,16.2,37.4,35.9,35.4,34.7,34.1,29.1,,
"Чистая прибыль, млрд руб",НКНХ,,,,,,,,,,,,,,6.42,9.6,27.5,24.3,24.6,24.7,24.0,9.0,,
"Операционный денежный поток, млрд руб",НКНХ,,,,,,,,,,,,,,,,,17.7,32.5,17.4,45.7,37.3,,
"CAPEX, млрд руб",НКНХ,,,,,,,,,,,,,,7.9,6.9,14.7,13.4,13.5,33.7,37.0,51.2,,
"Див.выплата, млрд руб",НКНХ,,,,,,,,,,,,4.32,5.09,1.83,2.78,7.94,0.0,0.0,36.5,16.6,1.34,18.9,
"Дивиденд, руб/акцию",НКНХ,,,,,,,,,,,1.176,2.36,2.78,1.0,1.52,4.34,0.0,0.0,19.94,9.07,0.73,10.282,
"Див доход, ао, %",НКНХ,,,,,,,,,,,,0.105,0.095,0.038,0.073,0.09699999999999999,0.0,0.0,0.307,0.094,0.008,0.09300000000000001,
"Дивиденд ап, руб/акцию",НКНХ,,,,,,,,,,,1.176,2.36,2.78,1.0,1.52,4.34,0.0,0.0,19.94,9.07,0.73,10.282,
"Див доход, ап, %",НКНХ,,,,,,,,,,,,0.147,0.115,0.049,0.091,0.187,0.0,0.0,0.49200000000000005,0.107,0.009000000000000001,0.10099999999999999,
"Дивиденды/прибыль, %",НКНХ,,,,,,,,,,,,,,0.28,0.29,0.29,0.0,0.0,1.48,0.69,0.15,,
"Себестоимость, млрд руб",НКНХ,,,,,,,,,,,,,,99.0,110.0,108.2,108.8,119.0,147.4,135.5,117.9,,
"Расх на персонал, млрд руб",НКНХ,,,,,,,,,,,,,,,,14.3,15.5,15.5,15.5,16.8,18.3,,
"Процентные расходы, млрд руб",НКНХ,,,,,,,,,,,,,,,,0.247,0.149,0.048,0.023,0.044,0.013,,
"Активы, млрд руб",НКНХ,,,,,,,,,,,,,,,,111.6,132.2,149.5,210.4,215.3,268.6,,
"Чистые активы, млрд руб",НКНХ,,,,,,,,,,,,,,60.0,67.7,92.4,108.6,133.2,158.0,145.1,137.6,,
"Долг, млрд руб",НКНХ,,,,,,,,,,,,,,6.6,7.0,2.4,1.0,0.522,33.6,50.1,97.3,,
"Наличность, млрд руб",НКНХ,,,,,,,,,,,,,,3.05,7.19,12.4,7.11,24.4,31.0,34.5,16.3,,
"Чистый долг, млрд руб",НКНХ,,,,,,,,,,,0.0,0.0,0.0,3.54,-0.2,-9.98,-6.11,-23.9,2.6,15.6,81.0,0.0,
"Цена акции ао, руб",НКНХ,,,,,,,,,,,,22.5,29.4,26.6,20.9,44.6,76.1,51.4,65.0,96.9,91.5,110.9,
"Число акций ао, млн",НКНХ,,,,,,,,,,,1611.0,1611.0,1611.0,1611.0,1611.0,1611.0,1611.0,1611.0,1611.0,1611.0,1611.0,1611.0,
"Цена акции ап, руб",НКНХ,,,,,,,,,,,,16.1,24.2,20.4,16.8,23.3,31.2,28.0,40.5,85.1,79.2,101.8,
"Число акций ап, млн",НКНХ,,,,,,,,,,,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,
"Капитализация, млрд руб",НКНХ,,,,,,,,,,,0.0,39.8,52.7,47.3,37.3,77.0,129.5,89.0,113.6,174.7,164.7,201.0,
"EV, млрд руб",НКНХ,,,,,,,,,,,0.0,39.8,52.7,50.9,37.1,67.0,123.3,65.1,116.2,190.3,245.7,201.0,
"Баланс стоимость, млрд руб",НКНХ,,,,,,,,,,,0.0,0.0,0.0,60.0,67.7,92.4,108.6,133.2,158.0,144.8,137.2,0.0,
"EPS, руб",НКНХ,,,,,,,,,,,0.0,0.0,0.0,3.99,5.95,17.1,15.1,15.3,15.3,14.9,5.59,0.0,
"FCF/акцию, руб",НКНХ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"BV/акцию, руб",НКНХ,,,,,,,,,,,0.0,0.0,0.0,37.2,42.0,57.4,67.4,82.7,98.0,89.9,85.2,0.0,
"Рентаб EBITDA, %",НКНХ,,,,,,,,,,,,,,0.105,0.11800000000000001,0.24,0.226,0.21100000000000002,0.179,0.191,0.18899999999999997,,
"Чистая рентаб, %",НКНХ,,,,,,,,,,,,,,0.051,0.07,0.177,0.153,0.147,0.127,0.134,0.057999999999999996,,
"Доходность FCF, %",НКНХ,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"ROE, %",НКНХ,,,,,,,,,,,,,,0.107,0.142,0.298,0.22399999999999998,0.185,0.156,0.166,0.065,,
"ROA, %",НКНХ,,,,,,,,,,,,,,,,0.247,0.184,0.16399999999999998,0.11699999999999999,0.11199999999999999,0.034,,
P/E,НКНХ,,,,,,,,,,,,,,7.37,3.89,2.79,5.32,3.62,4.6,7.27,18.3,,
P/S,НКНХ,,,,,,,,,,,,,,0.38,0.27,0.49,0.82,0.53,0.59,0.98,1.07,,
P/BV,НКНХ,,,,,,,,,,,,,,0.79,0.55,0.83,1.19,0.67,0.72,1.21,1.2,,
EV/EBITDA,НКНХ,,,,,,,,,,,,,,3.85,2.3,1.79,3.44,1.84,3.34,5.58,8.46,,
Долг/EBITDA,НКНХ,,,,,,,,,,,,,,0.27,-0.01,-0.27,-0.17,-0.67,0.07,0.46,2.79,,
"Персонал, чел",НКНХ,,,,,,,,,,,,,,,,15361.0,15519.0,,,,14488.0,,
"Производительность труда, млн руб/чел/год",НКНХ,,,,,,,,,,,,,,,,10.1,10.2,,,,10.6,,
"Расходы/чел/год, тыс.р",НКНХ,,,,,,,,,,,,,,,,929.2,999.0,,,,1265.0,,
"R&D/CAPEX, %",НКНХ,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CAPEX/Выручка, %",НКНХ,,,,,,,,,,,,,,0.06,0.05,0.09,0.08,0.08,0.17,0.21,0.33,,
Дата отчета,НКХП,,,,,,,,,,,,,,08.07.2018,08.07.2018,30.06.2018,13.04.2018,13.04.2018,17.04.2019,31.03.2020,26.03.2021,22.03.2022,25.08.2022
Валюта отчета,НКХП,,,,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Выручка, млрд руб",НКХП,,,,,,,,,,,,,,1.79,3.09,6.62,4.27,6.35,13.6,18.5,7.65,6.38,4.48
"Операционная прибыль, млрд руб",НКХП,,,,,,,,,,,,,,,,,1.79,2.94,4.33,1.5,3.12,3.02,2.04
"EBITDA, млрд руб",НКХП,,,,,,,,,,,,,,0.83,1.71,2.17,1.93,3.12,4.54,1.78,3.4,3.32,2.4
"Чистая прибыль, млрд руб",НКХП,,,,,,,,,,,,,,0.568,1.32,1.71,1.41,2.4,3.4,0.982,2.3,2.38,1.58
"Операционный денежный поток, млрд руб",НКХП,,,,,,,,,,,,,,,,,1.11,2.81,2.21,1.02,5.24,2.52,1.81
"CAPEX, млрд руб",НКХП,,,,,,,,,,,,,,,,0.565,1.92,1.86,1.72,0.953,0.77,0.76,0.9
"FCF, млрд руб",НКХП,,,,,,,,,,,,,,,,,-0.895,0.803,0.092,-0.34,4.17,1.68,0.843
"Див.выплата, млрд руб",НКХП,,,,,,,,,,,,,,,,,,1.34,1.65,0.495,1.16,1.2,0.557
"Дивиденд, руб/акцию",НКХП,,,,,,,,,,,,,,,,17.403,11.8199,19.867,24.71,7.32,17.19,9.5,8.24
"Див доход, ао, %",НКХП,,,,,,,,,,,,,,,,0.038,0.053,0.085,0.10800000000000001,0.028999999999999998,0.052000000000000005,0.033,0.028999999999999998
"Дивиденды/прибыль, %",НКХП,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.56,0.48,0.5,0.5,0.5,0.35
"Опер. расходы, млрд руб",НКХП,,,,,,,,,,,,,,,,,0.597,0.672,0.724,1.33,0.484,0.585,0.518
"Себестоимость, млрд руб",НКХП,,,,,,,,,,,,,,0.916,1.21,3.65,2.34,2.73,8.55,15.7,4.05,2.77,1.95
"Расх на персонал, млрд руб",НКХП,,,,,,,,,,,,,,,,0.584,0.68,0.825,1.1,0.84,1.08,1.08,
"Процентные расходы, млрд руб",НКХП,,,,,,,,,,,,,,,,0.0,0.1,0.258,0.418,0.47,0.39,0.165,0.108
"Активы, млрд руб",НКХП,,,,,,,,,,,,,,,,3.44,5.18,8.84,12.2,14.5,12.7,11.3,11.1
"Чистые активы, млрд руб",НКХП,,,,,,,,,,,,,,1.96,2.31,2.61,3.21,4.48,6.3,6.38,7.88,9.21,9.72
"Долг, млрд руб",НКХП,,,,,,,,,,,,,,0.0,0.0,0.0,1.5,3.69,4.34,4.61,3.19,1.22,0.78
"Наличность, млрд руб",НКХП,,,,,,,,,,,,,,0.729,0.905,0.511,0.122,1.86,1.36,0.819,3.02,0.902,0.43
"Чистый долг, млрд руб",НКХП,,,,,,,,,,,,,,-0.73,-0.91,-0.51,1.38,1.83,2.99,3.8,0.17,0.32,0.35
"Цена акции ао, руб",НКХП,,,,,,,,,,,,,,,,459.0,223.0,234.5,229.0,248.5,331.0,290.0,283.0
"Число акций ао, млн",НКХП,,,,,,,,,,,,,,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6
"Капитализация, млрд руб",НКХП,,,,,,,,,,,,,,0.0,0.0,31.0,15.1,15.9,15.5,16.8,22.4,19.6,19.1
"EV, млрд руб",НКХП,,,,,,,,,,,,,,-0.73,-0.91,30.5,16.5,17.7,18.5,20.6,22.5,19.9,19.5
"Баланс стоимость, млрд руб",НКХП,,,,,,,,,,,,,,1.96,2.31,2.61,3.21,4.48,6.3,6.38,7.88,9.21,9.72
"EPS, руб",НКХП,,,,,,,,,,,,,,8.4,19.5,25.2,20.8,35.4,50.3,14.5,34.0,35.2,23.4
"FCF/акцию, руб",НКХП,,,,,,,,,,,,,,0.0,0.0,0.0,-13.2,11.9,1.36,-5.03,61.7,24.9,12.5
"BV/акцию, руб",НКХП,,,,,,,,,,,,,,29.0,34.1,38.7,47.4,66.3,93.2,94.3,116.6,136.3,143.8
"Рентаб EBITDA, %",НКХП,,,,,,,,,,,,,,0.46399999999999997,0.5539999999999999,0.327,0.451,0.49200000000000005,0.33399999999999996,0.096,0.444,0.521,0.537
"Чистая рентаб, %",НКХП,,,,,,,,,,,,,,0.318,0.42700000000000005,0.258,0.33,0.377,0.25,0.053,0.301,0.374,0.354
"Доходность FCF, %",НКХП,,,,,,,,,,,,,,,,0.0,-0.059000000000000004,0.051,0.006,-0.02,0.18600000000000003,0.086,0.044000000000000004
"ROE, %",НКХП,,,,,,,,,,,,,,0.29,0.5710000000000001,0.652,0.439,0.534,0.539,0.154,0.292,0.259,0.163
"ROA, %",НКХП,,,,,,,,,,,,,,,,0.495,0.272,0.271,0.27899999999999997,0.068,0.18100000000000002,0.21,0.14300000000000002
P/E,НКХП,,,,,,,,,,,,,,0.0,0.0,18.2,10.7,6.62,4.56,17.1,9.73,8.23,12.1
P/S,НКХП,,,,,,,,,,,,,,0.0,0.0,4.69,3.53,2.5,1.14,0.91,2.92,3.08,4.27
P/BV,НКХП,,,,,,,,,,,,,,0.0,0.0,11.9,4.7,3.54,2.46,2.63,2.84,2.13,1.97
EV/EBITDA,НКХП,,,,,,,,,,,,,,-0.88,-0.53,14.1,8.53,5.67,4.07,11.6,6.63,6.0,8.11
Долг/EBITDA,НКХП,,,,,,,,,,,,,,-0.88,-0.53,-0.24,0.71,0.59,0.66,2.13,0.05,0.1,0.15
"R&D/CAPEX, %",НКХП,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",НКХП,,,,,,,,,,,,,,0.0,0.0,0.09,0.45,0.29,0.13,0.05,0.1,0.12,0.2
Дата отчета,НЛМК,,,,,,,,,,,,,,08.07.2018,30.06.2018,30.06.2018,30.06.2018,30.06.2018,07.02.2019,12.02.2020,11.02.2021,03.02.2022,03.02.2022
Валюта отчета,НЛМК,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Производство стали, млн т",НЛМК,8.2,7.9,8.6,8.9,9.1,8.5,9.1,9.1,10.5,10.6,11.5,12.0,14.9,15.4,15.9,16.1,16.6,17.1,17.5,15.7,15.8,17.4,17.4
"Пр-во продукции, млн т",НЛМК,,,,,,,,,,,,,,,,13.0,12.7,13.1,13.5,12.5,10.5,11.2,
"Продажи стали, млн т",НЛМК,,,,,,,,,,,,,,,15.1,15.8,15.9,16.5,17.6,17.1,17.5,16.6,17.4
"Доля продаж на экспорт, %",НЛМК,,,,,,,,,,,,,,,,0.61,0.6,0.61,0.66,0.59,0.59,0.59,
"Загрузка мощности, %",НЛМК,,,,,,,,,,,,,,,0.96,0.93,0.96,0.98,0.99,0.94,0.94,0.93,0.93
"Выручка, млрд руб",НЛМК,,,,,,,,,,,,,,347.4,262.7,487.5,508.5,586.9,757.0,682.5,667.0,1191.0,1191.0
"Операционная прибыль, млрд руб",НЛМК,,,,,,,,,,,,,,19.5,62.0,84.4,97.9,118.6,189.3,129.7,150.8,490.4,490.4
"EBITDA, млрд руб",НЛМК,,,,,,,,,,,,,,48.0,86.5,118.7,128.1,154.8,225.7,165.8,190.8,534.2,534.2
"Чистая прибыль, млрд руб",НЛМК,,,,,,,,,,,,,,6.02,23.7,58.6,61.3,84.7,140.1,86.6,89.2,371.7,371.7
"Операционный денежный поток, млрд руб",НЛМК,,,,,,,,,,,,,,42.8,71.6,112.1,113.5,111.3,172.5,169.9,164.4,331.9,331.9
"CAPEX, млрд руб",НЛМК,,,,,,,,,,,,,,24.2,21.1,36.3,37.3,34.5,43.9,69.8,81.1,89.5,89.5
"FCF, млрд руб",НЛМК,,,,,,,,,,,,,,17.3,47.2,73.9,72.9,74.1,127.1,98.5,79.6,238.9,238.9
"Див.выплата, млрд руб",НЛМК,,,,,,,,,12.0,1.32,14.6,20.4,3.72,4.02,19.9,41.7,55.3,84.1,136.7,104.0,129.7,207.7,15.6
"Дивиденд, руб/акцию",НЛМК,,,,,,,,,4.0,0.22,2.44,3.4,0.62,0.67,3.22,6.95,9.22,14.04,22.81,17.36,21.64,34.66,2.6
"Див доход, ао, %",НЛМК,,,,,,,,,0.133,0.002,0.017,0.054000000000000006,0.01,0.012,0.048,0.111,0.08,0.095,0.145,0.121,0.10400000000000001,0.159,0.023
"Дивиденды/прибыль, %",НЛМК,,,,,,,,,,,,,,0.67,0.84,0.71,0.9,0.99,0.98,1.2,1.45,0.56,0.04
"Опер. расходы, млрд руб",НЛМК,,,,,,,,,,,,,,,,,72.1,72.1,85.0,80.8,90.8,127.4,127.4
"Себестоимость, млрд руб",НЛМК,,,,,,,,,,,,,,252.5,256.7,335.0,339.1,396.4,482.2,472.2,427.1,573.3,573.3
"Расх на персонал, млрд руб",НЛМК,,,,,,,,,,,,,,43.7,43.1,48.0,55.1,56.0,61.6,62.7,65.6,74.4,
"Процентные расходы, млрд руб",НЛМК,,,,,,,,,,,,,,2.58,4.49,4.93,7.02,5.13,4.4,3.17,4.62,4.01,4.01
"Активы, млрд руб",НЛМК,,,,,,,,,,,,,,538.5,582.2,650.1,621.1,633.3,690.8,649.0,728.6,903.3,903.3
"Чистые активы, млрд руб",НЛМК,,,,,,,,,,,,,,326.4,242.6,374.4,382.8,387.5,404.3,367.1,349.4,476.4,476.4
"Долг, млрд руб",НЛМК,,,,,,,,,,,,,,132.4,106.2,195.0,137.6,133.0,144.2,164.4,257.5,257.5,257.5
"Наличность, млрд руб",НЛМК,,,,,,,,,,,,,,30.9,21.1,25.0,37.0,17.6,81.9,53.9,62.2,40.2,40.2
"Чистый долг, млрд руб",НЛМК,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.5,85.1,170.0,100.6,115.5,62.2,110.6,195.3,217.3,217.3
"Цена акции ао, руб",НЛМК,,,,,,,,,30.2,91.8,144.5,62.8,61.2,55.2,66.8,62.6,115.0,147.2,157.4,143.7,209.0,217.5,115.0
"Число акций ао, млн",НЛМК,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0,5993.0
"Free Float, %",НЛМК,,,,,,,,,,,,,,,,0.14,,,0.16,0.18600000000000003,0.207,0.207,
"Капитализация, млрд руб",НЛМК,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.7,550.4,866.3,376.4,366.8,330.7,400.3,375.2,689.1,882.3,943.5,861.3,1253.0,1304.0,689.2
"EV, млрд руб",НЛМК,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.7,550.4,866.3,376.4,366.8,432.2,485.4,545.2,789.7,997.8,1006.0,971.9,1448.0,1521.0,906.5
"Баланс стоимость, млрд руб",НЛМК,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.4,242.6,350.6,359.8,364.2,377.2,341.7,322.0,450.7,450.7
"EPS, руб",НЛМК,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.96,9.78,10.2,14.1,23.4,14.4,14.9,62.0,62.0
"FCF/акцию, руб",НЛМК,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,7.88,12.3,12.2,12.4,21.2,16.4,13.3,39.9,39.9
